PAPER,STUDYREP,ID,S,Akm2,Habdiv,Elevkm,Dmainlkm,Dlandkm,Dlargelandkm
usher1998,usher1998,1,102,0.005,,,,,
,,2,76,0.006,,,,,
,,3,92,0.007,,,,,
,,4,95,0.011,,,,,
,,5,67,0.014,,,,,
,,6,91,0.02,,,,,
,,7,80,0.02,,,,,
,,8,100,0.035,,,,,
,,9,103,0.037,,,,,
,,10,85,0.037,,,,,
,,11,101,0.05,,,,,
,,12,75,0.066,,,,,
,,13,129,0.068,,,,,
,,14,94,0.092,,,,,
,,15,96,0.093,,,,,
,,16,111,0.107,,,,,
,,17,113,0.18,,,,,
,,18,94,0.306,,,,,
newmark1991,newmark1991,4,4,0.001,,,4.026,,0.132
,,3,2,0.0038,,,6.633,,1.056
,,5,6,0.0042,,,3.828,,0.33
,,8,6,0.0045,,,3.498,,0.066
,,6,9,0.0078,,,4.125,,0.066
,,2,8,0.0163,,,7.326,,0.825
,,1,7,0.0268,,,7.821,,0.363
,,9,14,0.0938,,,3.465,,0.297
,,7,18,0.3002,,,3.828,,0.33
,,10,26,5.2101,,,0.3,,0.3
blake1991,blake1991yr79,1,39,6,,,,,
,,2,34,0.65,,,,,
,,3,32,1.18,,,,,
,,4,32,0.28,,,,,
,,5,28,0.65,,,,,
,,6,24,0.24,,,,,
,,7,22,0.24,,,,,
,,8,19,0.065,,,,,
,,9,17,0.162,,,,,
,,10,17,0.051,,,,,
,,11,15,0.023,,,,,
,,12,9,0.018,,,,,
mccollin1993,mccollin1993,9,22,0.0372,,,,,
,,12,26,0.0507,,,,,
,,5,20,0.0233,,,,,
,,6,24,0.0255,,,,,
,,11,20,0.0485,,,,,
,,16,19,0.1451,,,,,
,,10,16,0.0378,,,,,
,,13,24,0.0772,,,,,
,,15,26,0.1217,,,,,
,,3,16,0.009,,,,,
,,7,21,0.0256,,,,,
,,8,26,0.0395,,,,,
,,1,14,0.0074,,,,,
,,2,16,0.0109,,,,,
,,4,12,0.0103,,,,,
,,14,32,0.0986,,,,,
