PAPER,Solymos_Lele_2012_GEB,Not_in_KAT,KAT_ref_no,CITATION
abbott1974,,,1,"Abbott, I. (1974) Numbers of plant, insect and land bird species on nineteen remote islands in Southern Hemisphere. Biological Journal of the Linnean Society, 6, 143–152."
abbott1978,1,,2,"Abbott, I. (1978). Factors determining the number of land bird species on islands around South-Western Australia. Oecologia 33, 221–233."
abbott1992,1,1,,"Abbott, I. (1992). Biogeography of grasses (Poaceae) on islands of Southwestern Australia. Austral Ecology 17, 289–296."
adler1985,1,,7,"Adler, G. H. and M. L. Wilson (1985). Small mammals on Massachusetts islands: The use of probability functions in clarifying biogeographic relationships. Oecologia 66, 178–186."
adler1994,1,,9,"Adler, G. H. (1994). Avifaunal diversity and endemism on tropical Indian Ocean islands. Journal of Biogeography 21, 85–95."
ahlen1983,,,11,"Ahlén, I. (1983) The bat fauna of some isolated islands in Scandinavia. Oikos, 41, 352–358."
amerson1975,1,,13,"Amerson, A. B. Jr. (1975). Species richness on the nondisturbed northwestern Hawaiian islands. Ecology 56, 435–444."
anjos1999,1,1,,"Anjos, L. D. and R. Boçon (1999). Bird communities in natural forest patches in southern Brazil. The Wilson Bulletin 111, 397–414."
as1984,,,17,"Stefan As. To Fly or Not to Fly? Colonization of Baltic Islands by Winged and Wingless Carabid Beetles. Journal of Biogeography, Vol. 11, No. 5 (Sep., 1984), pp. 413-426"
azeria2004,1,,18,"Azeria, E. T. (2004). Terrestrial bird community patterns on the coralline islands of the Dahlak archipelago, red sea, eritrea. Global Ecology and Biogeography 13, 177–187."
badano2005,,,19,"Ernesto I. Badano, Hector A. Regidor, Hector A. Nunez, Rebeca Acosta and Ernesto Gianoli. Species richness and structure of ant communities in a dynamic archipelago: effects of island area and age. Journal of Biogeography (J. Biogeogr.) (2005) 32, 221–227"
baldi1999,,1,,"Andras Baldi, Tibor Kisbenedek. Acta Oecologica 20 (2) (I 999) 125- 132. Orthopterans in small steppe patches: an investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches.
"
baz1995,,1,,"The Effects of Forest Fragmentation on Butterfly Communities in Central Spain. Author(s): Arturo Baz and Antonio Garcia-Boyero. Source: Journal of Biogeography, Vol. 22, No. 1 (Jan., 1995), pp. 129-140"
bengtson1983,1,,25,"Bengtson, S. A. and D. Bloch (1983). Island land bird population densities in relation to island size and habitat quality on the Faroe islands. Oikos 41, 507–522."
bisconti2001,1,1,,"Bisconti, M., W. Landini, G. Bianucci, G. Cantalamessa, G. Carnevale, L. Ragaini, G. Valleri, and V. Gentile (2001). Biogeographic relationships of the Galapagos terrestrial biota: parsimony analyses of endemicity based on reptiles, land birds and Scalesia land plants. Journal of Biogeography 28, 495–510."
blake1991,1,1,,"Blake, J. G. (1991). Nested subsets and the distribution of birds on isolated woodlots. Conservation Biology 5, 58–66."
bolger1997,1,1,,"Bolger, D. T., A. C. Alberts, R. M. Sauvajot, P. Potenza, C. McCalvin, D. Tran, S. Mazzoni, and M. E. Soulé (1997). Response of rodents to habitat fragmentation in coastal southern California. Ecological Applications 7, 552–563."
boomsma1987,,,31,"Insular Biogeography and Distribution Ecology of Ants on the Frisian Islands. Author(s): J. J. Boomsma, A. A. Mabelis, M. G. M. Verbeek, E. C. Los. Source: Journal of Biogeography, Vol. 14, No. 1 (Jan., 1987), pp. 21-37"
borges2009,,1,,"Paulo A.V. Borges, Joaquin Hortal, Rosalina Gabriela, Nidia Homema. Would species richness estimators change the observed species area relationship? Acta Oecologica 35 (2009) 149–156."
brown1971,1,1,,"Brown, J. H. (1971). Mammals on mountaintops: nonequilibrium insular biogeography. The American Naturalist 105, 467–478."
browne1996,,,40,"Browne, J. & Peck, S.B. (1996) The long horned beetles of south Florida (Cerambycidae: Coleoptera): biogeography and relationships with the Bahama Islands and Cuba. Canadian Journal of Zoology, 74, 2154–2169."
buckley1985,1,,41,"Buckley, R. C. (1985). Distinguishing the effects of area and habitat type on island plant species richness by separating floristic elements and substrate types and controlling for island isolation. Journal of Biogeography 12, 527–535."
burns2010,,1,,"K. C. Burns, Jenny Berg, Ada Bialynicka-Birula, Sabrina Kratchmer and Katelyn Shortt. Tree diversity on islands: assembly rules, passive sampling and the theory of island biogeography. Journal of Biogeography (J. Biogeogr.) (2010) Volume 37, Issue 10, pages 1876–1883
"
case1975,,,44,"Species Numbers, Density Compensation, and Colonizing Ability of Lizards on Islands in the Gulf of California. Author(s): Ted J. Case. Source: Ecology, Vol. 56, No. 1 (Winter, 1975), pp. 3-18"
