STUDYREP,STUDY,PAPER,Repeat,Person,Date_of_entry,Taxon,Taxon_orig,Island_type,Island_type_orig,Matrix,Latitude_nearEqator,Latitude_nearPole,Region,Location,
krystufek2007amph,krystufek2007amph,krystufek2007,1,PS,2010,herptiles,amphibians,landbridge,landbridge,marine,42,45,Eur,Adriatic Islands,
krystufek2007mamm,krystufek2007mamm,krystufek2007,1,PS,2010,mammals,mammals,landbridge,landbridge,marine,42,45,Eur,Adriatic Islands,
krystufek2007rept,krystufek2007rept,krystufek2007,1,PS,2010,herptiles,reptiles,landbridge,landbridge,marine,42,45,Eur,Adriatic Islands,
nikolic2008,nikolic2008,nikolic2008,1,PS,2010,plants,plants,landbridge,landbridge,marine,41,45,Eur,Adriatic Islands,
dennis2000,dennis2000,dennis2000,1,PSandAN,2010,insects,butterfly,landbridge,landbridge,marine,34,40,Eur,Aegean,
fattorini2002,fattorini2002,fattorini2002,1,PSandAN,2010,insects,tenebrionid beetles,landbridge,landbridge,marine,34,40,Eur,Aegean,
fattorini2008,fattorini2008,fattorini2008,1,PS,2010,insects,tenebrionid beetles,landbridge,landbridge,marine,34,40,Eur,Aegean,
kat247,kat247,kat247,1,PS,2012jan,other,Terrestrial Isopods,landbridge,landbridge,marine,34,40,Eur,Aegean Archipelago (Greece),
heller1976,heller1976,heller1976,1,PSandAN,2010,other,landsnails,landbridge,landbridge,marine,34,40,Eur,Aegean Islands,
panista2001plant,panista2001plant,panista2001,1,AN,2012feb,plants,plants,landbridge,marine,marine,34,40,Eur,Aegean islands,
panitsa2006,panitsa2006,panitsa2006,1,PSandAN,2010,plants,plants,landbridge,landbridge,marine,34,40,Eur,Aegean Islands,
sfenthourakis2009,sfenthourakis2009,sfenthourakis2009,1,PSandAN,2010,other,isopods,landbridge,landbridge,marine,34,40,Eur,Aegean Islands,
weltherschultes1999,weltherschultes1999,weltherschultes1999,1,PS,2010,other,land snails,landbridge,landbridge,marine,35,40,Eur,Aegean islands,
kat091,kat091,kat091,1,PS,2012jan,insects,tenebrionid beetles,landbridge,landbridge,marine,34,40,Eur,"Aegean Islands, Greece",
panitsa1998,panitsa1998,panitsa1998,1,PS,2010,plants,plants,landbridge,landbridge,marine,37,37,Eur,Aegean Sea,
fattorini2009acari,fattorini2009acari,fattorini2009,1,PS,2010,other,acari,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009araneae,fattorini2009araneae,fattorini2009,1,PS,2010,other,araneae,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009birds,fattorini2009birds,fattorini2009,1,PS,2010,birds,birds,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009carab,fattorini2009carab,fattorini2009,1,PS,2010,insects,carabids,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009chilo,fattorini2009chilo,fattorini2009,1,PS,2010,other,chilopods,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009collemb,fattorini2009collemb,fattorini2009,1,PS,2010,other,collembolans,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009diplo,fattorini2009diplo,fattorini2009,1,PS,2010,other,diplopods,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009herp,fattorini2009herp,fattorini2009,1,PS,2010,herptiles,amphibians and reptiles,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009heteropt,fattorini2009heteropt,fattorini2009,1,PS,2010,insects,heteroptera,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009isop,fattorini2009isop,fattorini2009,1,PS,2010,other,isopods,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009moll,fattorini2009moll,fattorini2009,1,PS,2010,other,mollusca,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009opilio,fattorini2009opilio,fattorini2009,1,PS,2010,other,opiliones,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009orthopt,fattorini2009orthopt,fattorini2009,1,PS,2010,insects,orthopterans,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009scarab,fattorini2009scarab,fattorini2009,1,PS,2010,insects,scarabidae,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009staph,fattorini2009staph,fattorini2009,1,PS,2010,insects,staphylinidae,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
fattorini2009teneb,fattorini2009teneb,fattorini2009,1,PS,2010,insects,tenebrionidae,landbridge,landbridge,marine,38,38,Eur,"Aeolian Islands, near Sicily",
conroy1999,conroy1999,conroy1999,1,PSandAN,2010,mammals,mammals,landbridge,landbridge,marine,54,60,N_Am,"Alexander Archipelago, SE Alaska",
triantis2008asty,triantis2008asty,triantis2008,1,PSandAN,2010,other,isopods,landbridge,landbridge,marine,37,37,Eur,"Astypalaia, Aegean",
kat179,kat179,kat179,1,PS,2012jan,other,snails,landbridge,landbridge,marine,23,23,N_Am,"Bahamas, Caribbean",
lawlor1986mbajacalif,lawlor1986mbajacalif,lawlor1986,1,PSandAN,2010,mammals,non-volant mammals,landbridge,landbridge,marine,23,23,N_Am,Baja California,
kotze2000,kotze2000,kotze2000,1,PS,2010,insects,carabids,landbridge,landbridge,marine,59,60,Eur,Baltic Islands,
as1984,as1984,as1984,1,PSandAN,2010,insects,carabid beetles,landbridge,landbridge,marine,59,59,Eur,"Baltic Sea, Sweden",
burns2010,burns2010,burns2010,1,PS,2010,plants,conifer trees,landbridge,landbridge,marine,48,48,N_Am,"Barkley Sound, BC, Canada; near Vancouver Island",
hice2002,hice2002,hice2002,1,PS,2010,mammals,non-volant mammals,landbridge,landbridge,marine,26,29,N_Am,"Barrier Island, Texas",
lawlor1986mbass,lawlor1986mbass,lawlor1986,1,PSandAN,2010,mammals,non-volant mammals,landbridge,landbridge,marine,-40,-40,Austr,Bass Strait,
dennis1997,dennis1997,dennis1997,1,PSandAN,2010,insects,butterfly,landbridge,landbridge,marine,49,61,Eur,Britain,
